Slice,Count,Total Area,Average Size,%Area,Mean
s1_aliq1_a.tif,530,7398,13.958,0.859,255
s1_aliq1_b.tif,344,4610,13.401,0.535,255
s1_aliq1_c.tif,50,771,15.420,0.090,255
s1_aliq2_d.tif,86,1349,15.686,0.157,255
s1_aliq2_e.tif,261,3278,12.559,0.381,255
s1_aliq2_f.tif,254,2600,10.236,0.302,255
s2_aliq1_a.tif,469,7460,15.906,0.866,255
s2_aliq1_b.tif,435,5911,13.589,0.686,255
s2_aliq1_c.tif,493,7968,16.162,0.925,255
s2_aliq2_d.tif,481,8812,18.320,1.023,255
s2_aliq2_e.tif,288,4834,16.785,0.561,255
s2_aliq2_f.tif,495,8513,17.198,0.989,255
s3_aliq1_a.tif,304,4577,15.056,0.531,255
s3_aliq1_b.tif,537,7312,13.616,0.849,255
s3_aliq1_c.tif,430,6722,15.633,0.781,255
s3_aliq2_d.tif,830,12399,14.939,1.440,255
s3_aliq2_e.tif,900,12270,13.633,1.425,255
s3_aliq2_f.tif,854,10489,12.282,1.218,255
s4_aliq1_a.tif,952,13695,14.386,1.590,255
s4_aliq1_b.tif,489,6924,14.160,0.804,255
s4_aliq1_c.tif,1029,12344,11.996,1.433,255
s4_aliq2_d.tif,1053,14536,13.804,1.688,255
s4_aliq2_e.tif,726,11806,16.262,1.371,255
s4_aliq2_f.tif,868,11437,13.176,1.328,255
